t, Cuff Pressure, Target Pressure
10.254 , 151.36 , 150
10.255 , 151.41 , 150
10.256 , 151.43 , 150
10.257 , 151.41 , 150
10.258 , 151.41 , 150
10.258 , 151.36 , 150
10.259 , 151.36 , 150
10.26 , 151.41 , 150
10.261 , 151.41 , 150
10.262 , 151.36 , 150
10.263 , 151.36 , 150
10.263 , 151.41 , 150
10.264 , 151.41 , 150
10.265 , 151.36 , 150
10.266 , 151.36 , 150
10.267 , 151.36 , 150
10.268 , 151.41 , 150
10.269 , 151.36 , 150
10.269 , 151.36 , 150
10.27 , 151.36 , 150
10.271 , 151.34 , 150
10.272 , 151.34 , 150
10.273 , 151.36 , 150
10.274 , 151.34 , 150
10.274 , 151.34 , 150
10.275 , 151.34 , 150
10.276 , 151.34 , 150
10.277 , 151.34 , 150
10.278 , 151.36 , 150
10.279 , 151.32 , 150
10.28 , 151.36 , 150
10.28 , 151.34 , 150
10.281 , 151.36 , 150
10.282 , 151.34 , 150
10.283 , 151.34 , 150
10.284 , 151.34 , 150
10.285 , 151.34 , 150
10.286 , 151.36 , 150
10.287 , 151.34 , 150
10.288 , 151.32 , 150
10.288 , 151.34 , 150
10.289 , 151.34 , 150
10.29 , 151.36 , 150
10.291 , 151.34 , 150
10.292 , 151.32 , 150
10.293 , 151.32 , 150
10.294 , 151.32 , 150
10.294 , 151.34 , 150
10.295 , 151.32 , 150
10.296 , 151.32 , 150
10.297 , 151.34 , 150
10.298 , 151.32 , 150
10.299 , 151.27 , 150
10.3 , 151.27 , 150
10.3 , 151.32 , 150
10.301 , 151.27 , 150
10.302 , 151.32 , 150
10.303 , 151.32 , 150
10.304 , 151.32 , 150
10.304 , 151.32 , 150
10.305 , 151.32 , 150
10.306 , 151.32 , 150
10.307 , 151.32 , 150
10.308 , 151.27 , 150
10.309 , 151.27 , 150
10.309 , 151.27 , 150
10.31 , 151.32 , 150
10.311 , 151.27 , 150
10.312 , 151.27 , 150
10.313 , 151.27 , 150
10.314 , 151.27 , 150
10.314 , 151.27 , 150
10.315 , 151.25 , 150
10.316 , 151.32 , 150
10.317 , 151.27 , 150
10.318 , 151.25 , 150
10.319 , 151.27 , 150
10.32 , 151.27 , 150
10.32 , 151.27 , 150
10.321 , 151.25 , 150
10.322 , 151.32 , 150
10.323 , 151.25 , 150
10.324 , 151.25 , 150
10.325 , 151.27 , 150
10.325 , 151.25 , 150
10.326 , 151.27 , 150
10.327 , 151.27 , 150
10.328 , 151.25 , 150
10.329 , 151.25 , 150
10.33 , 151.25 , 150
10.33 , 151.25 , 150
10.331 , 151.27 , 150
10.332 , 151.25 , 150
10.333 , 151.25 , 150
10.334 , 151.25 , 150
10.335 , 151.27 , 150
10.335 , 151.2 , 150
10.336 , 151.2 , 150
10.337 , 151.2 , 150
10.338 , 151.2 , 150
10.339 , 151.2 , 150
10.34 , 151.25 , 150
10.341 , 151.25 , 150
10.342 , 151.2 , 150
10.342 , 151.2 , 150
10.343 , 151.25 , 150
10.344 , 151.2 , 150
10.345 , 151.25 , 150
10.346 , 151.2 , 150
10.347 , 151.2 , 150
10.348 , 151.18 , 150
10.348 , 151.2 , 150
10.349 , 151.2 , 150
10.35 , 151.2 , 150
10.351 , 151.18 , 150
10.352 , 151.2 , 150
10.353 , 151.18 , 150
10.354 , 151.18 , 150
10.355 , 151.18 , 150
10.356 , 151.18 , 150
10.356 , 151.18 , 150
10.357 , 151.18 , 150
10.358 , 151.18 , 150
10.359 , 151.18 , 150
10.36 , 151.2 , 150
10.361 , 151.2 , 150
10.362 , 151.13 , 150
10.363 , 151.18 , 150
10.363 , 151.13 , 150
10.364 , 151.18 , 150
10.365 , 151.13 , 150
10.366 , 151.18 , 150
10.367 , 151.18 , 150
10.368 , 151.2 , 150
10.369 , 151.18 , 150
10.37 , 151.13 , 150
10.37 , 151.18 , 150
10.371 , 151.18 , 150
10.372 , 151.13 , 150
10.373 , 151.13 , 150
10.374 , 151.13 , 150
10.375 , 151.11 , 150
10.375 , 151.13 , 150
10.376 , 151.13 , 150
10.377 , 151.11 , 150
10.378 , 151.11 , 150
10.379 , 151.13 , 150
10.38 , 151.13 , 150
10.381 , 151.11 , 150
10.381 , 151.11 , 150
10.382 , 151.13 , 150
10.383 , 151.11 , 150
10.384 , 151.13 , 150
10.385 , 151.18 , 150
10.386 , 151.11 , 150
10.386 , 151.13 , 150
10.387 , 151.11 , 150
10.388 , 151.13 , 150
10.389 , 151.13 , 150
10.39 , 151.11 , 150
10.391 , 151.11 , 150
10.392 , 151.11 , 150
10.392 , 151.13 , 150
10.393 , 151.11 , 150
10.394 , 151.11 , 150
10.395 , 151.09 , 150
10.396 , 151.11 , 150
10.397 , 151.11 , 150
10.397 , 151.11 , 150
10.398 , 151.09 , 150
10.399 , 151.11 , 150
10.4 , 151.11 , 150
10.401 , 151.11 , 150
10.402 , 151.09 , 150
10.403 , 151.11 , 150
10.403 , 151.11 , 150
10.404 , 151.09 , 150
10.405 , 151.09 , 150
10.406 , 151.09 , 150
10.407 , 151.09 , 150
10.408 , 151.11 , 150
10.409 , 151.09 , 150
10.409 , 151.11 , 150
10.41 , 151.09 , 150
10.411 , 151.09 , 150
10.412 , 151.04 , 150
10.413 , 151.09 , 150
10.414 , 151.04 , 150
10.415 , 151.04 , 150
10.416 , 151.09 , 150
10.416 , 151.04 , 150
10.417 , 151.09 , 150
10.418 , 151.09 , 150
10.419 , 151.09 , 150
10.42 , 151.09 , 150
10.421 , 151.09 , 150
10.422 , 151.04 , 150
10.423 , 151.04 , 150
10.423 , 151.04 , 150
10.424 , 151.04 , 150
10.425 , 151.11 , 150
10.426 , 151.04 , 150
10.427 , 151.04 , 150
10.428 , 151.02 , 150
10.429 , 151.04 , 150
10.429 , 151.04 , 150
10.43 , 151.02 , 150
10.431 , 151.02 , 150
10.432 , 151.04 , 150
10.433 , 151.02 , 150
10.434 , 151.04 , 150
10.434 , 151.02 , 150
10.435 , 151.02 , 150
10.436 , 151.02 , 150
10.437 , 151.02 , 150
10.438 , 151.02 , 150
10.439 , 150.97 , 150
10.44 , 151.02 , 150
10.44 , 151.04 , 150
10.441 , 151.02 , 150
10.442 , 150.97 , 150
10.443 , 151.02 , 150
10.444 , 151.02 , 150
10.445 , 151.02 , 150
10.445 , 151.02 , 150
10.446 , 151.04 , 150
10.447 , 151.04 , 150
10.448 , 151.04 , 150
10.449 , 151.04 , 150
10.45 , 151.02 , 150
10.45 , 151.09 , 150
10.451 , 151.04 , 150
10.452 , 151.04 , 150
10.453 , 151.04 , 150
10.454 , 151.04 , 150
10.455 , 151.09 , 150
10.456 , 151.04 , 150
10.456 , 151.04 , 150
10.457 , 151.04 , 150
10.458 , 151.09 , 150
10.459 , 151.02 , 150
10.46 , 151.09 , 150
10.461 , 151.02 , 150
10.461 , 151.02 , 150
10.462 , 151.02 , 150
10.463 , 151.02 , 150
10.464 , 151.02 , 150
10.465 , 151.04 , 150
10.465 , 150.97 , 150
10.466 , 150.97 , 150
10.467 , 151.02 , 150
10.468 , 150.97 , 150
10.469 , 151.02 , 150
10.469 , 150.97 , 150
10.47 , 150.97 , 150
10.471 , 150.97 , 150
10.472 , 151.02 , 150
10.473 , 151.02 , 150
10.474 , 151.02 , 150
10.474 , 150.97 , 150
10.475 , 151.02 , 150
10.476 , 150.97 , 150
10.477 , 151.02 , 150
10.478 , 150.97 , 150
10.479 , 151.02 , 150
10.479 , 150.97 , 150
10.48 , 150.97 , 150
10.481 , 151.02 , 150
10.482 , 150.97 , 150
10.483 , 150.97 , 150
10.484 , 150.97 , 150
10.484 , 150.95 , 150
10.485 , 150.97 , 150
10.486 , 150.97 , 150
10.487 , 150.95 , 150
10.488 , 150.97 , 150
10.489 , 150.95 , 150
10.489 , 150.95 , 150
10.49 , 150.95 , 150
10.491 , 150.95 , 150
10.492 , 150.97 , 150
10.493 , 150.97 , 150
10.494 , 150.9 , 150
10.495 , 150.97 , 150
10.495 , 150.95 , 150
10.496 , 150.97 , 150
10.497 , 150.95 , 150
10.498 , 150.95 , 150
10.499 , 150.95 , 150
10.5 , 150.95 , 150
10.501 , 150.95 , 150
10.501 , 150.95 , 150
10.502 , 150.9 , 150
10.503 , 150.97 , 150
10.504 , 150.95 , 150
10.505 , 150.97 , 150
10.506 , 150.95 , 150
10.506 , 150.97 , 150
10.507 , 150.95 , 150
10.508 , 150.95 , 150
10.509 , 150.88 , 150
10.51 , 150.95 , 150
10.511 , 150.9 , 150
10.512 , 150.95 , 150
10.512 , 150.9 , 150
10.513 , 150.95 , 150
10.514 , 150.95 , 150
10.515 , 150.9 , 150
10.516 , 150.9 , 150
10.517 , 150.9 , 150
10.518 , 150.9 , 150
10.519 , 150.9 , 150
10.519 , 150.95 , 150
10.52 , 150.9 , 150
10.521 , 150.9 , 150
10.522 , 150.9 , 150
10.523 , 150.9 , 150
10.524 , 150.9 , 150
10.524 , 150.9 , 150
10.525 , 150.95 , 150
10.526 , 150.9 , 150
10.527 , 150.95 , 150
10.528 , 150.9 , 150
10.529 , 150.9 , 150
10.53 , 150.9 , 150
10.531 , 150.9 , 150
10.531 , 150.88 , 150
10.532 , 150.9 , 150
10.533 , 150.9 , 150
10.534 , 150.88 , 150
10.535 , 150.9 , 150
10.536 , 150.95 , 150
10.537 , 150.9 , 150
10.537 , 150.9 , 150
10.538 , 150.88 , 150
10.539 , 150.9 , 150
10.54 , 150.88 , 150
10.541 , 150.88 , 150
10.542 , 150.88 , 150
10.543 , 150.9 , 150
10.543 , 150.9 , 150
10.544 , 150.88 , 150
10.545 , 150.9 , 150
10.546 , 150.88 , 150
10.547 , 150.88 , 150
10.548 , 150.88 , 150
10.548 , 150.88 , 150
10.549 , 150.88 , 150
10.55 , 150.88 , 150
10.551 , 150.86 , 150
10.552 , 150.88 , 150
10.553 , 150.88 , 150
10.553 , 150.88 , 150
10.554 , 150.88 , 150
10.555 , 150.86 , 150
10.556 , 150.88 , 150
10.557 , 150.88 , 150
10.557 , 150.88 , 150
10.558 , 150.86 , 150
10.559 , 150.88 , 150
10.56 , 150.81 , 150
10.561 , 150.86 , 150
10.562 , 150.88 , 150
10.562 , 150.86 , 150
10.563 , 150.86 , 150
10.564 , 150.86 , 150
10.565 , 150.86 , 150
10.566 , 150.86 , 150
10.567 , 150.86 , 150
10.567 , 150.88 , 150
10.568 , 150.88 , 150
10.569 , 150.86 , 150
10.57 , 150.86 , 150
10.571 , 150.86 , 150
