t,o,f
0.458 , -0.14 , -0.12
0.459 , -0.09 , -0.11
0.46 , -0.14 , -0.12
0.461 , -0.14 , -0.13
0.461 , -0.09 , -0.11
0.462 , -0.14 , -0.12
0.463 , -0.14 , -0.13
0.464 , -0.07 , -0.11
0.465 , -0.16 , -0.13
0.466 , -0.14 , -0.13
0.467 , -0.14 , -0.13
0.468 , -0.14 , -0.13
0.469 , -0.14 , -0.13
0.469 , -0.14 , -0.13
0.47 , -0.09 , -0.11
0.471 , -0.14 , -0.12
0.472 , -0.14 , -0.13
0.473 , -0.14 , -0.13
0.474 , -0.14 , -0.13
0.475 , -0.14 , -0.13
0.476 , -0.14 , -0.13
0.476 , -0.09 , -0.11
0.477 , -0.14 , -0.12
0.478 , -0.14 , -0.13
0.479 , -0.14 , -0.13
0.48 , -0.09 , -0.11
0.481 , -0.14 , -0.12
0.482 , -0.09 , -0.11
0.483 , -0.09 , -0.1
0.484 , -0.16 , -0.12
0.485 , -0.09 , -0.11
0.486 , -0.14 , -0.12
0.486 , -0.14 , -0.13
0.487 , -0.09 , -0.11
0.488 , -0.16 , -0.13
0.489 , -0.14 , -0.13
0.49 , -0.07 , -0.11
0.491 , -0.14 , -0.12
0.492 , -0.09 , -0.11
0.493 , -0.14 , -0.12
0.494 , -0.09 , -0.11
0.495 , -0.09 , -0.1
0.496 , -0.09 , -0.1
0.496 , -0.14 , -0.12
0.497 , -0.14 , -0.13
0.498 , -0.09 , -0.11
0.499 , -0.14 , -0.12
0.5 , -0.09 , -0.11
0.501 , -0.14 , -0.12
0.502 , -0.14 , -0.13
0.503 , -0.14 , -0.13
0.503 , -0.14 , -0.13
0.504 , -0.14 , -0.13
0.505 , -0.14 , -0.13
0.506 , -0.14 , -0.13
0.507 , -0.09 , -0.11
0.508 , -0.14 , -0.12
0.509 , -0.09 , -0.11
0.51 , -0.14 , -0.12
0.511 , -0.09 , -0.11
0.511 , -0.14 , -0.12
0.512 , -0.09 , -0.11
0.513 , -0.14 , -0.12
0.514 , -0.14 , -0.13
0.515 , -0.14 , -0.13
0.516 , -0.14 , -0.13
0.517 , -0.09 , -0.11
0.518 , -0.14 , -0.12
0.518 , -0.14 , -0.13
0.519 , -0.16 , -0.14
0.52 , -0.09 , -0.12
0.521 , -0.14 , -0.13
0.522 , -0.14 , -0.13
0.523 , -0.09 , -0.11
0.524 , -0.14 , -0.12
0.525 , -0.09 , -0.11
0.526 , -0.07 , -0.09
0.527 , -0.07 , -0.08
0.528 , -0.07 , -0.08
0.529 , -0.09 , -0.08
0.53 , -0.14 , -0.1
0.531 , -0.09 , -0.1
0.532 , -0.07 , -0.09
0.533 , -0.09 , -0.09
0.534 , -0.09 , -0.09
0.535 , -0.07 , -0.08
0.536 , -0.09 , -0.08
0.537 , -0.09 , -0.08
0.538 , -0.09 , -0.08
0.539 , -0.09 , -0.08
0.54 , -0.09 , -0.08
0.541 , -0.09 , -0.08
0.542 , -0.07 , -0.08
0.543 , -0.09 , -0.08
0.545 , -0.07 , -0.08
0.546 , -0.09 , -0.08
0.547 , -0.09 , -0.08
0.548 , -0.09 , -0.08
0.549 , -0.07 , -0.08
0.55 , -0.09 , -0.08
0.551 , -0.07 , -0.08
0.552 , -0.09 , -0.08
0.553 , -0.14 , -0.1
0.554 , -0.09 , -0.1
0.555 , -0.09 , -0.1
0.556 , -0.09 , -0.1
0.557 , -0.07 , -0.09
0.558 , -0.09 , -0.09
0.559 , -0.07 , -0.08
0.56 , -0.09 , -0.08
0.561 , -0.09 , -0.08
0.562 , -0.07 , -0.08
0.563 , -0.09 , -0.08
0.564 , -0.09 , -0.08
0.566 , -0.09 , -0.08
0.567 , -0.07 , -0.08
0.568 , -0.09 , -0.08
0.569 , -0.09 , -0.08
0.57 , -0.09 , -0.08
0.571 , -0.09 , -0.08
0.572 , -0.09 , -0.08
0.573 , -0.09 , -0.08
0.574 , -0.09 , -0.08
0.575 , -0.07 , -0.08
0.577 , -0.09 , -0.08
0.578 , -0.09 , -0.08
0.579 , -0.09 , -0.08
0.58 , -0.09 , -0.08
0.5809999 , -0.09 , -0.08
0.582 , -0.07 , -0.08
0.583 , -0.07 , -0.08
0.584 , -0.14 , -0.1
0.585 , -0.07 , -0.09
0.586 , -0.09 , -0.09
0.587 , -0.09 , -0.09
0.588 , -0.09 , -0.09
0.589 , -0.09 , -0.09
0.59 , -0.09 , -0.09
0.591 , -0.09 , -0.09
0.592 , -0.14 , -0.11
0.593 , -0.09 , -0.1
0.594 , -0.09 , -0.1
0.595 , -0.09 , -0.1
0.596 , -0.09 , -0.1
0.597 , -0.09 , -0.1
0.598 , -0.14 , -0.12
0.599 , -0.14 , -0.13
0.599 , -0.09 , -0.11
0.6 , -0.09 , -0.1
0.601 , -0.09 , -0.1
0.602 , -0.14 , -0.12
0.603 , -0.14 , -0.13
0.604 , -0.09 , -0.11
0.605 , -0.14 , -0.12
0.606 , -0.09 , -0.11
0.607 , -0.09 , -0.1
0.608 , -0.09 , -0.1
0.609 , -0.09 , -0.1
0.609 , -0.09 , -0.1
0.61 , -0.07 , -0.09
0.611 , -0.09 , -0.09
0.612 , -0.09 , -0.09
0.613 , -0.07 , -0.08
0.614 , -0.07 , -0.08
0.615 , -0.09 , -0.08
0.616 , -0.09 , -0.08
0.618 , -0.09 , -0.08
0.619 , -0.09 , -0.08
0.62 , -0.07 , -0.08
0.621 , -0.07 , -0.08
0.622 , -0.09 , -0.08
0.623 , -0.09 , -0.08
0.624 , -0.14 , -0.1
0.625 , -0.09 , -0.1
0.626 , -0.09 , -0.1
0.627 , -0.09 , -0.1
0.628 , -0.09 , -0.1
0.629 , -0.09 , -0.1
0.63 , -0.09 , -0.1
0.63 , -0.09 , -0.1
0.631 , -0.07 , -0.09
0.632 , -0.09 , -0.09
0.633 , -0.09 , -0.09
0.634 , -0.09 , -0.09
0.635 , -0.09 , -0.09
0.636 , -0.07 , -0.08
0.637 , -0.07 , -0.08
0.638 , -0.09 , -0.08
0.64 , -0.09 , -0.08
0.641 , -0.09 , -0.08
0.642 , -0.09 , -0.08
0.643 , -0.09 , -0.08
0.644 , -0.09 , -0.08
0.645 , -0.14 , -0.1
0.646 , -0.07 , -0.09
0.647 , -0.09 , -0.09
0.648 , -0.07 , -0.08
0.649 , -0.09 , -0.08
0.65 , -0.09 , -0.08
0.651 , -0.14 , -0.1
0.652 , -0.09 , -0.1
0.653 , -0.14 , -0.12
0.654 , -0.07 , -0.1
0.655 , -0.07 , -0.09
0.656 , -0.09 , -0.09
0.657 , -0.09 , -0.09
0.658 , -0.09 , -0.09
0.659 , -0.09 , -0.09
0.66 , -0.14 , -0.11
0.661 , -0.09 , -0.1
0.661 , -0.09 , -0.1
0.662 , -0.14 , -0.12
0.663 , -0.05 , -0.09
0.664 , -0.09 , -0.09
0.665 , -0.07 , -0.08
0.666 , -0.09 , -0.08
0.668 , -0.07 , -0.08
0.6690001 , -0.09 , -0.08
0.67 , -0.09 , -0.08
0.671 , -0.09 , -0.08
0.672 , -0.07 , -0.08
0.673 , -0.09 , -0.08
0.674 , -0.09 , -0.08
0.675 , -0.09 , -0.08
0.676 , -0.09 , -0.08
0.677 , -0.09 , -0.08
0.678 , -0.09 , -0.08
0.68 , -0.09 , -0.08
0.681 , -0.09 , -0.08
0.682 , -0.09 , -0.08
0.683 , -0.09 , -0.08
0.684 , -0.09 , -0.08
0.685 , -0.09 , -0.08
0.686 , -0.07 , -0.08
0.687 , -0.09 , -0.08
0.689 , -0.07 , -0.08
0.69 , -0.09 , -0.08
0.691 , -0.09 , -0.08
0.692 , -0.09 , -0.08
0.693 , -0.09 , -0.08
0.694 , -0.14 , -0.1
0.695 , -0.09 , -0.1
0.696 , -0.07 , -0.09
0.697 , -0.07 , -0.08
0.698 , -0.09 , -0.08
0.699 , -0.07 , -0.08
0.7 , -0.09 , -0.08
0.701 , -0.09 , -0.08
0.702 , -0.07 , -0.08
0.703 , -0.07 , -0.08
0.704 , -0.09 , -0.08
0.705 , -0.07 , -0.08
0.707 , -0.09 , -0.08
0.708 , -0.14 , -0.1
0.709 , -0.09 , -0.1
0.709 , -0.14 , -0.12
0.71 , -0.14 , -0.13
0.711 , -0.09 , -0.11
0.712 , -0.09 , -0.1
0.713 , -0.09 , -0.1
0.714 , -0.07 , -0.09
0.715 , -0.09 , -0.09
0.716 , -0.09 , -0.09
0.717 , -0.09 , -0.09
0.718 , -0.07 , -0.08
0.719 , -0.09 , -0.08
0.72 , -0.09 , -0.08
0.721 , -0.09 , -0.08
0.722 , -0.09 , -0.08
0.723 , -0.07 , -0.08
0.724 , -0.09 , -0.08
0.726 , -0.09 , -0.08
0.727 , -0.09 , -0.08
0.728 , -0.09 , -0.08
0.729 , -0.07 , -0.08
0.73 , -0.09 , -0.08
0.731 , -0.09 , -0.08
0.732 , -0.14 , -0.1
0.733 , -0.09 , -0.1
0.734 , -0.07 , -0.09
0.735 , -0.09 , -0.09
0.736 , -0.07 , -0.08
0.737 , -0.07 , -0.08
0.738 , -0.09 , -0.08
0.739 , -0.09 , -0.08
0.74 , -0.09 , -0.08
0.741 , -0.09 , -0.08
0.743 , -0.09 , -0.08
0.744 , -0.07 , -0.08
0.745 , -0.09 , -0.08
0.746 , -0.09 , -0.08
0.747 , -0.09 , -0.08
0.748 , -0.07 , -0.08
0.749 , -0.09 , -0.08
0.75 , -0.09 , -0.08
0.751 , -0.14 , -0.1
0.752 , -0.09 , -0.1
0.753 , -0.09 , -0.1
0.754 , -0.07 , -0.09
0.755 , -0.09 , -0.09
0.756 , -0.07 , -0.08
0.757 , -0.09 , -0.08
0.758 , -0.09 , -0.08
0.759 , -0.09 , -0.08
0.76 , -0.09 , -0.08
0.762 , -0.07 , -0.08
0.763 , -0.09 , -0.08
0.764 , -0.07 , -0.08
0.765 , -0.09 , -0.08
0.766 , -0.07 , -0.08
0.767 , -0.07 , -0.08
0.768 , -0.09 , -0.08
0.769 , -0.07 , -0.08
0.77 , -0.09 , -0.08
0.771 , -0.09 , -0.08
0.773 , -0.07 , -0.08
0.774 , -0.09 , -0.08
0.775 , -0.07 , -0.08
0.776 , -0.07 , -0.08
0.777 , -0.09 , -0.08
0.778 , -0.09 , -0.08
0.779 , -0.14 , -0.1
0.78 , -0.07 , -0.09
0.781 , -0.07 , -0.08
0.782 , -0.09 , -0.08
0.783 , -0.09 , -0.08
0.784 , -0.07 , -0.08
0.786 , -0.09 , -0.08
0.787 , -0.07 , -0.08
0.796 , -0.09 , -0.08
0.797 , -0.09 , -0.08
0.798 , -0.09 , -0.08
0.799 , -0.09 , -0.08
