t, OWM
1.873,49.82999
1.876,49.84
1.879,49.81
1.881,49.85001
1.884,49.83
1.887,49.82
1.889,49.83
1.892,49.83001
1.895,49.81
1.897,49.84
1.9,49.82
1.903,49.83001
1.905,49.84
1.908,49.84
1.91,49.79
1.913,49.82001
1.916,49.81
1.918,49.80999
1.921,49.82
1.924,49.83
1.926,49.82
1.929,49.82001
1.932,49.83
1.934,49.83
1.937,49.81
1.939,49.83001
1.942,49.83
1.945,49.84
1.947,49.82999
1.95,49.83001
1.952,49.81
1.955,49.80999
1.958,49.8
1.96,49.8
1.963,49.83
1.966,49.83001
1.968,49.84
1.971,49.82
1.973,49.82
1.976,49.80001
1.979,49.81
1.981,49.83
1.984,49.83001
1.986,49.83001
1.989,49.84
1.992,49.82999
1.994,49.84
1.997,49.81001
1.999,49.81
2.002,49.82999
2.005,49.83001
2.007,49.83
2.01,49.83
2.013,49.82001
2.015,49.82
2.018,49.84
2.021,49.84001
2.024,49.85
2.026,49.84
2.029,49.84
2.031,49.81001
2.034,49.82
2.037,49.84
2.039,49.80999
2.042,49.82
2.045,49.83
2.047,49.83001
2.05,49.82001
2.053,49.82
2.055,49.83
2.058,49.81001
2.061,49.84
2.063,49.84
2.066,49.84
2.068,49.84001
2.071,49.85
2.074,49.82999
2.076,49.82
2.079,49.83001
2.082,49.81
2.092,49.83
2.095,49.84001
2.097,49.84
2.1,49.82
2.103,49.82
2.105,49.83001
2.108,49.83
2.111,49.82999
2.113,49.84
2.116,49.83001
2.118,49.83
2.121,49.84
2.124,49.84
2.126,49.83001
2.129,49.83
2.132,49.83001
2.134,49.83
2.137,49.84
2.14,49.83
2.142,49.83001
2.145,49.84
2.148,49.84
2.15,49.83
2.153,49.83001
2.156,49.84
2.158,49.84
2.161,49.84
2.163,49.83001
2.166,49.84
2.169,49.84
2.172,49.84
2.174,49.84
2.177,49.84001
2.18,49.83001
2.182,49.83
2.185,49.84
2.188,49.83001
2.19,49.85001
2.193,49.84
2.195,49.84
2.198,49.85001
2.201,49.84
2.203,49.83
2.206,49.82999
2.208,49.83001
2.211,49.82
2.214,49.83001
2.216,49.84001
2.219,49.83
2.222,49.85
2.224,49.85001
2.227,49.84
2.23,49.83
2.232,49.84
2.235,49.82001
2.238,49.85
2.24,49.83
2.243,49.86
2.245,49.83001
2.248,49.85
2.251,49.84
2.253,49.82999
2.256,49.83001
2.259,49.84
2.261,49.82001
2.264,49.83
2.266,49.82
2.269,49.84
2.272,49.83001
2.274,49.84
2.277,49.84
2.28,49.82999
2.283,49.84
2.285,49.84
2.288,49.82999
2.29,49.82999
2.293,49.83001
2.296,49.83
2.298,49.84001
2.301,49.83
2.304,49.83
2.306,49.82
2.309,49.82001
2.312,49.83
2.314,49.83
2.317,49.84001
2.32,49.81001
2.322,49.82
2.325,49.84
2.327,49.83001
2.33,49.83001
2.333,49.85
2.335,49.82999
2.338,49.83001
2.341,49.83
2.343,49.82
2.346,49.80001
2.349,49.84
2.351,49.83
2.354,49.84001
2.356,49.86001
2.359,49.84
2.362,49.84
2.364,49.84
2.367,49.82
2.37,49.84
2.372,49.82999
2.375,49.84
2.378,49.84
2.38,49.84
2.383,49.83001
2.385,49.86
2.388,49.83
2.391,49.85001
2.393,49.86001
2.396,49.85
2.398,49.83
2.401,49.85001
2.404,49.84
2.406,49.82
2.409,49.84
2.412,49.85001
2.414,49.86
2.417,49.85999
2.42,49.82999
2.422,49.82
2.425,49.84
2.428,49.83001
2.43,49.86001
2.433,49.87
2.435,49.85
2.438,49.85001
2.441,49.85
2.443,49.83
2.446,49.86
2.449,49.86001
2.451,49.85
2.454,49.87
2.457,49.88
2.459,49.85001
2.462,49.86
2.465,49.87001
2.467,49.86
2.47,49.85
2.473,49.86
2.475,49.86001
2.478,49.88
2.481,49.86
2.483,49.86
2.486,49.86001
2.489,49.86
2.491,49.86
2.501,49.85999
2.504,49.86
2.507,49.87
2.509,49.89
2.512,49.87001
2.515,49.86
2.517,49.89
2.52,49.85001
2.523,49.84001
2.525,49.88
2.528,49.87
2.53,49.86001
2.533,49.87001
2.536,49.86
2.539,49.87
2.541,49.87
2.544,49.87
2.547,49.88001
2.549,49.87001
2.552,49.87
2.555,49.87
2.557,49.86001
2.56,49.89
2.562,49.87
2.565,49.88
2.568,49.87001
2.57,49.87
2.573,49.86
2.576,49.86
2.578,49.87001
2.581,49.86
2.584,49.89
2.586,49.85999
2.589,49.88
2.592,49.89
2.594,49.86001
2.597,49.86
2.6,49.86
2.603,49.86
2.605,49.89001
2.608,49.91
2.611,49.89
2.613,49.87
2.616,49.85001
2.619,49.85
2.621,49.84999
2.624,49.87
2.626,49.87
2.629,49.89
2.632,49.88001
2.634,49.88
2.637,49.86
2.639,49.87
2.642,49.85001
2.645,49.86
2.647,49.88
2.65,49.89001
2.653,49.87001
2.655,49.88
2.658,49.84999
2.661,49.86
2.663,49.85001
2.666,49.86
2.669,49.87999
2.671,49.89
2.674,49.88
2.676,49.87
2.679,49.86001
2.682,49.85
2.684,49.85
2.687,49.87001
2.69,49.87
2.692,49.85
2.695,49.88
2.698,49.87001
2.7,49.87
2.703,49.86
2.705,49.85999
2.708,49.86
2.711,49.85
2.713,49.85
2.716,49.84001
2.719,49.85
2.721,49.85
2.724,49.88001
2.727,49.85
2.729,49.86
2.732,49.85
2.735,49.85001
2.737,49.85
2.74,49.88
2.743,49.84999
2.745,49.86
2.748,49.86
2.751,49.82999
2.753,49.82999
2.756,49.85001
2.758,49.84
2.761,49.86001
2.764,49.86
2.766,49.85
2.769,49.85
2.772,49.85001
2.774,49.85
2.777,49.82999
2.779,49.82
2.782,49.85001
2.785,49.84
2.787,49.85999
2.79,49.87
2.793,49.83001
2.795,49.83
2.798,49.82001
2.801,49.82
2.803,49.83
2.806,49.85
2.809,49.86001
2.811,49.85
2.814,49.86
2.816,49.84
